Total_order,First_order,Total_order_CI,First_order_CI
0.0,0.0,0.0,0.0
0.0008668350015587038,-5.0713952550686204e-5,0.0005546420840496067,0.00043355188066951
0.00032825922817868023,0.0006880898153288914,0.0001717799558104156,0.0010072595605199902
0.008579864383534369,0.0006029242188504362,0.0014912899290222543,0.005032560109073528
0.02338241817635545,0.006924233037482,0.003105088458325717,0.006707172551690989
0.021058193548047038,-0.008623532293516143,0.006398221791735041,0.006136264489949394
0.04476588764973202,0.012017817874564353,0.009672745030162622,0.011095629336273113
0.057045424752828575,0.012628566176679712,0.011878859314989734,0.008729564409649854
7.987147958206264e-5,9.86997176743046e-5,5.9248711645206915e-5,0.00028221184790294337
0.01279167007057458,-0.003255357943527953,0.004287251724276563,0.008203071436536149
0.04609212514661035,0.003963842050530954,0.010630572896226941,0.008531090203576298
0.013705408109713104,-0.001273606802455694,0.002057865354961697,0.005839395331200788
0.17713388167242666,0.05643862882247591,0.019689704657579212,0.03033480291271163
0.0036547000919503964,0.0012647432951666806,0.0005424480721281225,0.0028814201208730893
0.3686214868088018,0.1541578182320284,0.026075602669843885,0.03434036211785484
0.200110286865125,0.049557105474686114,0.017578256313237055,0.021305091637257006
0.6654909265247925,0.4046472694288028,0.03276958561605965,0.04659698836809507
